taken_from,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,hourly_tweet_mean,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max
48852495,4.5,11,3,1.0,0.25,15.6,125.0,1.6427969671440608,3.7,48.0,5,0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.95,1
48962805,10.75,13,8,1.0,0.2,1.35,5.0,0.860832137733142,0.65,5.0,4,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
48988950,14.375,36,2,0.0,0.0,1.0625,4.0,0.009110946599874268,0.6875,3.0,4,4,0.45714285714285713,0.05714285714285714,0.2,0.125,0.08571428571428572,0.0,1.5,3
49012635,14.210526315789474,53,1,0.0,0.0,0.5789473684210527,4.0,0.6909017875075316,0.0,0.0,1,1,0.23255813953488372,0.0,0.2558139534883721,0.05263157894736842,0.06976744186046512,0.0,2.0,11
49062855,61.36842105263158,142,23,2.0,0.7894736842105263,1.4210526315789473,4.0,0.02530716087206176,0.15789473684210525,1.0,2,3,1.5,0.09090909090909091,0.22727272727272727,0.21052631578947367,0.045454545454545456,0.0,0.7368421052631579,4
49070320,6.25,13,2,0.0,0.0,0.8333333333333334,6.0,0.03268246389463917,0.0,0.0,1,0,0.0,0.023255813953488372,0.27906976744186046,0.0,0.16279069767441862,0.0,0.9166666666666666,2
49084221,14.578947368421053,49,0,2.0,0.10526315789473684,0.8421052631578947,16.0,0.00045143335545175646,0.2631578947368421,5.0,2,5,0.36666666666666664,0.4,0.3,0.10526315789473684,0.03333333333333333,0.0,0.8421052631578947,4
49113972,15.5,20,11,1.0,1.0,5.5,9.0,0.0013366498870252376,0.0,0.0,1,4,1.5,0.32142857142857145,0.35714285714285715,0.0,0.07142857142857142,0.0,0.5,1
49145398,13.0,30,1,1.0,0.06666666666666667,1.9333333333333333,16.0,0.0015980788555523156,0.6666666666666666,2.0,3,2,0.23809523809523808,0.0,0.23809523809523808,0.06666666666666667,0.14285714285714285,0.06666666666666667,0.6666666666666666,4
49251491,10.866666666666667,48,1,184.0,39.666666666666664,188.53333333333333,693.0,0.18045327012192466,8.533333333333333,55.0,8,3,0.34210526315789475,0.10526315789473684,0.21052631578947367,0.0,0.2631578947368421,0.2,1.1333333333333333,16
49263390,11.6,18,7,9.0,2.4,3.2,14.0,0.002482508983825666,0.2,1.0,2,2,0.9523809523809523,0.2857142857142857,0.8095238095238095,0.6,0.0,0.0,0.0,0
49272248,7.823529411764706,23,1,1575.0,163.58823529411765,2373.5882352941176,27732.0,0.0036347049080424835,32.1764705882353,191.0,11,4,0.5641025641025641,0.1794871794871795,0.5128205128205128,0.29411764705882354,0.15384615384615385,0.058823529411764705,0.8235294117647058,7
49274975,9.4,35,2,154.0,9.45,81.05,1153.0,0.010708579960495587,10.5,131.0,7,1,0.16666666666666666,0.0,0.16666666666666666,0.1,0.1111111111111111,0.15,0.95,3
49278865,15.375,40,5,1.0,0.0625,1.25,7.0,0.0034426998652786213,0.25,2.0,3,1,0.07692307692307693,0.05128205128205128,0.28205128205128205,0.0,0.02564102564102564,0.0,1.3125,3
49337907,5.166666666666667,15,1,5.0,2.5,4.666666666666667,8.0,0.025796099887657985,0.3333333333333333,2.0,2,6,0.26,0.1,0.24,0.16666666666666666,0.1,0.0,0.0,0
49421426,4.5,8,1,0.0,0.0,2.0,3.0,0.005417605370543344,0.5,1.0,2,3,0.4318181818181818,0.4318181818181818,0.38636363636363635,0.5,0.045454545454545456,0.0,1.0,1
49475466,12.15,45,3,5.0,0.3,2.8,34.0,0.004963797918712625,0.15,2.0,3,6,1.16,0.12,0.48,0.5,0.16,0.2,1.35,7
49482072,2.4166666666666665,7,1,0.0,0.0,0.16666666666666666,2.0,0.03020641047155563,0.0,0.0,1,2,0.1,0.025,0.3,0.0,0.35,0.0,0.08333333333333333,1
